Date,Open,High,Low,Close,Volume
2012-01-03,2072.0,2094.0,2060.0,2085.0,1016945
2012-01-04,2089.0,2119.0,2078.0,2100.0,711746
2012-01-05,2100.0,2122.25,2080.0,2091.0,908870
2012-01-06,2096.0,2158.0,2086.0,2146.0,997270
2012-01-09,2154.0,2188.0,2149.0,2167.53,632225
2012-01-10,2183.0,2200.0,2168.0,2192.0,991482
2012-01-11,2185.0,2198.0,2141.0,2146.0,1049114
2012-01-12,2149.0,2195.0,2105.0,2111.0,1670874
2012-01-13,2122.0,2169.0,2085.0,2110.0,1388882
2012-01-16,2102.0,2106.0,2076.0,2098.0,951911
2012-01-17,2169.0,2169.0,2098.0,2100.0,1171294
2012-01-18,2096.0,2111.0,1987.0,2025.0,3418250
2012-01-19,2040.0,2101.0,2038.0,2079.0,2179145
2012-01-20,2067.0,2067.0,1895.0,1954.0,3738755
2012-01-23,1910.0,1925.0,1861.0,1894.03,3150821
2012-01-24,1910.0,1966.41,1895.0,1927.0,1453041
2012-01-25,1941.0,2004.0,1941.0,1964.0,2269452
2012-01-26,1978.0,2022.0,1966.0,2022.0,2230803
2012-01-27,2000.0,2048.0,1970.0,1970.0,1994836
2012-01-30,1945.0,1983.0,1924.68,1944.0,803933
2012-01-31,1945.0,1971.0,1927.0,1955.0,1280501
2012-02-01,1970.0,2053.0,1970.0,2022.0,1282403
2012-02-02,2035.0,2048.0,2009.0,2018.0,884982
2012-02-03,2021.0,2078.07,1965.0,2062.0,1581814
2012-02-06,2063.0,2063.0,2033.0,2047.0,633990
2012-02-07,2055.0,2062.0,2024.0,2050.0,1213892
2012-02-08,2050.0,2070.0,1976.0,1984.0,1591726
2012-02-09,1984.0,2018.0,1973.24,1997.0,1169723
2012-02-10,1986.0,2008.4,1947.0,1997.0,2551467
2012-02-13,2007.0,2018.0,1974.0,1983.0,980291
2012-02-14,1976.0,1996.0,1944.0,1960.0,1294898
2012-02-15,1961.0,2000.82,1932.0,1989.0,1314429
2012-02-16,1974.0,1984.0,1944.0,1969.0,1332130
2012-02-17,1985.0,2068.0,1972.02,2051.0,1294388
2012-02-20,2064.0,2194.0,2051.0,2186.0,1898480
2012-02-21,2180.0,2184.0,2127.0,2152.0,1794728
2012-02-22,2166.0,2169.0,2139.0,2154.0,646376
2012-02-23,2145.0,2191.0,2130.0,2178.0,883914
2012-02-24,2180.0,2243.0,2178.0,2236.0,1257634
2012-02-27,2224.0,2231.0,2182.0,2230.0,825872
2012-02-28,2222.0,2242.0,2173.0,2205.0,1479657
2012-02-29,2219.0,2219.0,2077.0,2105.24,3347712
2012-03-01,2105.0,2114.04,2029.0,2030.0,1930851
2012-03-02,2037.0,2072.26,2014.5,2034.0,1151446
2012-03-05,1951.0,1988.0,1921.0,1940.98,1960917
2012-03-06,1932.0,1936.36,1884.0,1923.0,2114527
2012-03-07,1896.0,1981.0,1896.0,1944.0,1192334
2012-03-08,1954.0,1988.0,1954.0,1974.0,849377
2012-03-09,1971.0,1978.0,1946.0,1965.0,841632
2012-03-12,1972.0,1975.78,1934.0,1941.0,860896
2012-03-13,1964.0,2002.0,1956.05,1992.0,1397764
2012-03-14,2010.0,2028.0,1974.0,1984.0,1028105
2012-03-15,1980.0,2009.0,1968.0,1980.69,1205390
2012-03-16,1981.0,2009.0,1970.0,2001.0,1049675
2012-03-19,1990.0,2001.0,1974.0,1999.0,702182
2012-03-20,1986.0,1998.0,1950.0,1982.0,1563101
2012-03-21,1991.0,2007.0,1850.53,1859.0,5018358
2012-03-22,1846.0,1867.0,1798.0,1803.0,2764118
2012-03-23,1810.0,1844.75,1777.0,1814.0,2017001
2012-03-26,1825.0,1838.0,1784.32,1787.0,1453386
2012-03-27,1795.0,1803.0,1745.0,1771.0,1828476
2012-03-28,1769.0,1804.0,1745.0,1791.0,1931863
2012-03-29,1737.0,1747.0,1693.0,1698.0,1654900
2012-03-30,1702.0,1777.0,1702.0,1764.0,2449725
2012-04-02,1766.0,1816.0,1765.0,1813.0,1653352
2012-04-03,1810.0,1827.0,1764.93,1789.0,1188460
2012-04-04,1786.0,1789.0,1700.88,1705.0,1818682
2012-04-05,1711.0,1738.71,1692.0,1727.0,948393
2012-04-10,1704.0,1719.0,1667.0,1667.0,1206324
2012-04-11,1666.0,1753.0,1666.0,1701.0,1873697
2012-04-12,1709.0,1730.0,1699.0,1717.0,1328233
2012-04-13,1716.0,1732.59,1684.0,1689.0,1449918
2012-04-16,1686.0,1702.0,1659.94,1663.0,987707
2012-04-17,1661.0,1705.0,1630.0,1703.0,1726642
2012-04-18,1707.0,1773.0,1695.0,1744.0,2246920
2012-04-19,1750.0,1784.0,1749.0,1752.0,1830282
2012-04-20,1682.0,1729.0,1656.0,1700.0,3434185
2012-04-23,1692.0,1697.0,1628.0,1647.0,1533632
2012-04-24,1667.0,1667.95,1630.0,1634.0,1451110
