Date,Open,High,Low,Close,Volume
2012-01-03,653.0,658.5,642.5,655.5,1433009
2012-01-04,651.0,663.0,651.0,655.0,831112
2012-01-05,659.5,669.5,650.0,666.0,1471963
2012-01-06,665.5,680.0,662.0,670.5,530063
2012-01-09,669.0,683.0,666.5,675.5,289645
2012-01-10,684.0,692.5,680.5,689.0,766566
2012-01-11,687.5,691.0,669.5,673.5,592640
2012-01-12,669.5,684.0,669.5,677.0,509609
2012-01-13,684.5,693.0,654.5,664.0,951407
2012-01-16,660.5,667.5,648.0,661.5,912582
2012-01-17,674.0,675.0,663.0,671.0,789126
2012-01-18,667.5,678.0,662.5,676.0,779300
2012-01-19,677.0,686.5,673.0,685.0,670436
2012-01-20,684.5,688.0,658.5,658.5,1001652
2012-01-23,660.0,665.0,654.0,658.0,847825
2012-01-24,653.0,659.0,647.0,656.5,692059
2012-01-25,657.0,663.5,649.5,656.0,565558
2012-01-26,655.0,678.0,655.0,664.0,716406
2012-01-27,661.0,671.0,653.0,653.0,678135
2012-01-30,649.0,653.5,645.5,647.0,769430
2012-01-31,653.0,661.5,649.5,658.0,984428
2012-02-01,659.5,670.0,655.5,664.5,868680
2012-02-02,664.0,674.0,660.5,670.5,850489
2012-02-03,667.0,676.0,664.0,672.0,1048953
2012-02-06,668.5,686.5,666.5,679.5,729891
2012-02-07,682.5,682.5,666.5,679.0,903995
2012-02-08,683.5,689.0,680.0,684.0,1210657
2012-02-09,687.5,700.0,687.5,698.0,1234744
2012-02-10,693.5,704.0,693.0,695.0,987578
2012-02-13,700.0,705.5,695.0,695.0,440256
2012-02-14,694.0,712.0,689.3,710.5,644008
2012-02-15,714.0,727.5,710.0,720.0,925900
2012-02-16,714.0,717.0,695.0,696.0,1266833
2012-02-17,701.0,710.0,695.0,701.0,728974
2012-02-20,703.5,718.5,702.0,713.5,449708
2012-02-21,715.0,715.38,703.5,708.0,430741
2012-02-22,710.5,728.5,706.5,725.0,748678
2012-02-23,722.0,741.5,719.3,724.0,730538
2012-02-24,725.5,742.0,721.5,740.5,771420
2012-02-27,736.0,750.0,734.5,749.0,710984
2012-02-28,750.0,768.5,746.0,763.5,1071269
2012-02-29,763.0,775.0,754.0,758.0,875753
2012-03-01,758.0,761.5,745.5,759.5,699617
2012-03-02,760.0,771.5,754.91,763.5,858495
2012-03-05,751.5,764.5,748.5,763.5,1134507
2012-03-06,748.5,754.5,702.5,705.5,2215217
2012-03-07,690.0,703.5,685.0,701.5,1755435
2012-03-08,711.0,730.0,706.67,717.0,1554028
2012-03-09,716.0,726.0,716.0,719.0,1805401
2012-03-12,718.0,727.0,715.0,717.0,1220037
2012-03-13,720.5,730.5,715.0,729.5,1041966
2012-03-14,735.5,736.5,722.5,728.5,1080955
2012-03-15,725.0,731.07,717.01,731.0,1236838
2012-03-16,731.5,747.5,730.0,747.5,1858807
2012-03-19,747.0,751.5,738.0,750.5,1758869
2012-03-20,747.0,747.66,731.5,739.5,1083111
2012-03-21,744.5,750.0,729.0,732.0,1199052
