Date,Open,High,Low,Close,Volume
2012-03-26,2.34,2.4,2.34,2.39,141904
2012-03-27,240.25,242.0,240.0,240.75,113099
2012-03-28,240.0,243.37,234.13,240.0,180694
2012-03-29,239.75,240.0,230.5,234.5,212118
2012-03-30,245.0,245.0,232.86,235.25,112585
2012-04-02,245.0,245.0,234.72,239.25,78518
2012-04-03,245.0,245.0,232.5,240.5,85745
2012-04-04,233.0,235.57,233.0,234.0,180754
2012-04-05,237.25,241.25,234.75,238.0,85044
2012-04-10,233.0,240.0,230.5,232.5,124934
2012-04-11,233.25,235.25,230.36,235.25,72261
2012-04-12,231.5,235.5,230.25,231.75,176269
2012-04-13,235.0,241.25,228.75,229.5,121103
2012-04-16,231.0,239.0,228.25,229.0,90888
2012-04-17,234.0,234.42,227.25,232.0,137661
2012-04-18,234.0,238.52,227.75,238.5,191777
2012-04-19,235.5,238.25,229.25,229.75,148590
2012-04-20,229.5,232.0,228.0,230.75,68085
2012-04-23,230.5,230.75,227.25,230.75,65368
2012-04-24,232.0,232.0,230.0,230.0,29940
2012-04-25,228.75,237.25,227.25,228.25,119232
2012-04-26,235.0,235.0,227.0,228.25,103436
2012-04-27,227.25,236.25,226.75,226.75,137137
2012-04-30,230.5,233.0,223.0,225.75,119551
2012-05-01,225.25,225.75,218.0,224.0,148363
2012-05-02,226.0,227.0,215.75,220.5,412506
2012-05-03,223.25,226.0,217.5,220.0,281114
2012-05-04,218.0,220.0,215.75,219.0,176232
2012-05-08,220.0,226.75,217.25,219.25,278174
2012-05-09,220.75,227.0,216.75,220.75,258669
2012-05-10,224.25,227.25,218.0,221.0,127541
2012-05-11,220.0,226.0,218.0,222.0,150874
2012-05-14,219.5,219.5,210.75,213.25,138138
2012-05-15,216.0,221.75,214.5,217.0,149374
2012-05-16,213.0,225.0,213.0,222.75,178700
2012-05-17,223.0,223.55,219.25,221.0,209044
2012-05-18,221.0,221.0,215.0,219.0,146744
2012-05-21,220.25,223.0,217.0,219.75,70635
2012-05-22,218.25,223.25,218.0,221.0,106747
2012-05-23,227.5,227.5,215.0,219.0,172184
2012-05-24,220.0,220.75,215.0,216.0,118744
