Date,Open,High,Low,Close,Volume
2012-01-03,180.0,185.65,179.5,180.0,139357.0
2012-01-04,181.0,181.5,181.0,181.0,19568.0
2012-01-05,180.0,182.0,180.0,182.0,95900.0
2012-01-06,182.5,182.5,182.5,182.5,2518.0
2012-01-09,186.75,186.75,182.25,182.7,23893.0
2012-01-10,183.65,0.0,183.65,183.75,4916.0
2012-01-11,185.0,187.75,184.0,184.0,7868.0
2012-01-12,186.0,190.0,190.0,190.0,28158.0
2012-01-13,189.0,189.5,185.0,185.0,30153.0
2012-01-16,187.75,187.75,185.5,187.75,6629.0
2012-01-17,190.9,190.9,0.0,190.9,1500.0
2012-01-18,191.0,191.5,191.5,191.5,17822.0
2012-01-19,191.5,193.58,190.18,193.5,25784.0
2012-01-20,191.15,0.0,191.15,192.01,5412.0
2012-01-23,192.75,194.75,191.0,194.0,34257.0
2012-01-24,191.54,193.5,191.54,193.0,38535.0
2012-01-25,190.5,195.0,190.5,192.0,41956.0
2012-01-26,191.36,196.05,191.36,196.05,11731.0
2012-01-27,195.82,196.75,0.0,196.75,2302.0
2012-01-30,194.0,195.2,192.0,193.5,47480.0
2012-01-31,192.25,196.0,191.25,191.25,56866.0
2012-02-01,193.75,196.0,189.5,189.5,114961.0
2012-02-02,192.75,194.55,0.0,192.5,19939.0
2012-02-03,196.0,197.0,193.5,195.25,28455.0
2012-02-06,196.0,196.0,195.28,196.0,26206.0
2012-02-07,196.5,198.0,196.5,198.0,7225.0
2012-02-08,198.0,200.08,196.0,196.0,12613.0
2012-02-09,196.72,201.0,196.72,201.0,50868.0
2012-02-10,198.25,198.25,197.0,197.0,11951.0
2012-02-13,201.0,201.0,198.5,200.28,3036.0
2012-02-14,200.0,200.0,197.25,197.25,799.0
2012-02-15,202.0,206.0,201.65,203.75,9078.0
2012-02-16,202.25,202.5,201.5,202.5,9775.0
2012-02-17,,,,203.5,0.0
2012-02-20,204.25,204.25,201.51,203.5,3615.0
2012-02-21,,,,202.0,0.0
2012-02-22,,,,201.0,0.0
2012-02-23,,,,203.25,0.0
2012-02-24,,,,202.0,0.0
2012-02-27,,,,201.5,0.0
2012-02-28,205.5,205.5,201.42,205.5,1132.0
2012-02-29,206.0,206.0,203.0,203.0,27310.0
2012-03-01,,,,204.74,0.0
2012-03-02,203.25,205.0,203.25,205.0,3155.0
2012-03-05,203.0,204.38,202.0,202.0,4000.0
2012-03-06,201.5,201.5,197.75,197.75,14335.0
2012-03-07,198.04,201.0,198.0,198.0,7107.0
2012-03-08,202.25,203.0,199.33,202.0,37570.0
2012-03-09,203.5,205.0,201.98,205.0,21346.0
2012-03-12,205.25,205.5,203.25,205.5,2638.0
2012-03-13,206.75,207.0,204.72,207.0,110.0
2012-03-14,207.0,207.0,205.25,207.0,5207.0
2012-03-15,207.0,208.0,205.2,208.0,120.0
2012-03-16,207.75,208.0,205.0,205.0,6698.0
2012-03-19,207.75,207.75,203.0,203.45,7364.0
2012-03-20,203.0,204.0,201.75,201.75,1404.0
2012-03-21,201.0,203.64,201.0,202.0,537.0
2012-03-22,201.36,203.75,201.0,203.75,332.0
2012-03-23,203.5,203.75,201.11,203.75,2447.0
2012-03-26,203.75,203.75,201.0,201.25,464.0
2012-03-27,203.0,205.0,201.58,203.0,16069.0
2012-03-28,203.5,204.0,202.54,203.34,4516.0
2012-03-29,202.0,202.25,201.25,201.5,5598.0
2012-03-30,203.0,204.0,201.5,204.0,2770.0
2012-04-02,201.5,203.64,201.0,201.0,54.0
2012-04-03,204.0,205.83,201.0,205.0,7254.0
2012-04-04,202.25,203.89,201.25,201.25,11505.0
2012-04-05,202.75,203.5,201.75,203.25,9951.0
2012-04-10,200.0,201.64,198.0,198.0,764.0
2012-04-11,199.25,201.15,198.25,201.15,1000.0
2012-04-12,202.0,202.0,201.0,201.0,6412.0
2012-04-13,203.0,203.5,201.0,201.0,4408.0
2012-04-16,,,,203.0,0.0
2012-04-17,200.5,202.5,200.5,201.5,453.0
2012-04-18,200.75,202.64,200.5,202.14,259.0
2012-04-19,200.25,202.28,200.18,202.0,222.0
2012-04-20,198.75,201.24,198.5,201.0,600.0
2012-04-23,197.0,197.47,195.0,195.0,13693.0
2012-04-24,195.5,198.25,194.75,194.75,1356.0
2012-04-25,198.0,199.5,196.0,199.12,500.0
2012-04-26,199.0,199.25,195.5,195.5,1426.0
2012-04-27,199.75,199.75,197.75,199.75,824.0
2012-04-30,199.0,199.75,197.93,197.93,1723.0
2012-05-01,197.25,200.25,197.25,199.0,27926.0
2012-05-02,200.0,200.25,198.0,198.0,118028.0
2012-05-03,200.5,201.24,198.0,198.25,36462.0
2012-05-04,198.0,199.0,194.0,194.0,44632.0
2012-05-08,194.0,196.5,193.0,195.5,28485.0
2012-05-09,192.5,193.15,191.0,191.75,20316.0
2012-05-10,191.5,194.0,190.0,194.0,17173.0
2012-05-11,190.25,191.25,189.0,189.75,12081.0
2012-05-14,194.0,194.0,186.75,186.75,34816.0
2012-05-15,189.0,191.0,188.0,191.0,9965.0
2012-05-16,,,,188.5,0.0
2012-05-17,186.75,189.25,184.85,189.25,8740.0
2012-05-18,186.0,186.25,183.25,184.0,3504.0
2012-05-21,186.5,188.0,185.25,188.0,7514.0
2012-05-22,188.0,189.0,186.25,189.0,15654.0
2012-05-23,185.75,186.0,182.25,182.25,57254.0
2012-05-24,184.0,185.5,183.75,185.5,25877.0
2012-05-25,184.0,185.75,182.25,185.75,4.0
2012-05-28,184.0,185.75,183.24,184.0,283.0
2012-05-29,187.0,190.25,187.0,190.25,5951.0
2012-05-30,190.25,190.25,185.5,185.5,1654.0
2012-05-31,186.75,188.25,186.75,187.75,20014.0
2012-06-01,189.5,189.5,184.58,185.0,9188.0
2012-06-06,186.0,189.25,186.0,189.25,7584.0
2012-06-07,187.25,192.0,186.85,192.0,133284.0
2012-06-08,191.75,191.75,185.0,189.25,7429.0
2012-06-11,189.0,191.0,187.0,191.0,64838.0
2012-06-12,190.0,190.75,188.25,190.25,20623.0
2012-06-13,189.5,190.75,186.75,189.25,16190.0
2012-06-14,188.5,191.0,186.25,191.0,4724.0
2012-06-15,189.75,192.0,188.25,192.0,25357.0
2012-06-18,190.0,192.25,188.5,188.5,28046.0
2012-06-19,190.5,193.0,189.62,193.0,15670.0
2012-06-20,192.25,193.0,189.7,193.0,39.0
2012-06-21,190.0,190.0,188.5,188.5,57.0
2012-06-22,188.5,189.5,186.45,189.5,5572.0
2012-06-25,188.0,188.0,185.0,185.5,63.0
2012-06-26,187.25,187.75,185.62,187.75,76.0
2012-06-27,188.0,189.5,186.75,186.75,5690.0
2012-06-28,189.0,189.0,185.6,189.0,823.0
2012-06-29,188.5,195.0,188.5,195.0,23842.0
2012-07-02,191.0,194.49,189.0,193.0,34748.0
2012-07-03,195.0,195.5,193.89,194.25,27377.0
2012-07-04,193.5,195.15,192.52,194.5,181.0
2012-07-05,194.25,196.0,193.75,196.0,22383.0
2012-07-06,,,,192.38,0.0
2012-07-09,192.25,194.98,192.0,193.0,17769.0
