Date,Open,High,Low,Close,Volume
2015-04-21,103.0,105.85,101.0,102.0,2607969
2015-04-22,102.5,102.75,102.0,102.25,952585
2015-04-23,102.5,103.25,102.5,103.25,754199
2015-04-24,103.25,105.5,103.05,104.88,2328006
2015-04-27,105.5,106.1,104.75,106.0,1190606
2015-04-28,106.25,106.25,104.83,105.12,1254212
2015-04-29,105.25,105.38,103.5,104.75,475763
2015-04-30,105.0,105.5,104.64,105.5,777493
2015-05-01,105.25,105.4,104.75,105.03,333585
2015-05-05,105.25,105.5,105.0,105.0,416792
2015-05-06,105.5,105.76,104.9,105.15,668853
2015-05-07,105.0,105.32,104.0,104.1,316275
2015-05-08,105.25,105.25,104.58,105.0,254532
2015-05-11,105.5,106.0,105.0,105.0,289850
2015-05-12,105.5,105.75,104.5,104.5,183610
2015-05-13,105.5,105.75,105.0,105.0,109699
2015-05-14,105.25,105.3,105.0,105.25,261906
2015-05-15,105.75,105.75,105.0,105.11,64658
2015-05-18,105.5,105.5,104.99,105.0,493889
2015-05-19,105.5,105.75,105.0,105.0,408842
2015-05-20,105.25,105.75,104.75,105.28,147055
2015-05-21,105.75,105.75,105.06,105.25,76648
2015-05-22,105.5,105.5,105.0,105.0,100266
2015-05-26,105.5,105.5,105.05,105.5,304582
2015-05-27,105.5,106.0,105.0,105.33,118037
2015-05-28,105.5,105.75,105.19,105.5,90562
2015-05-29,105.75,106.5,105.38,106.5,1114907
2015-06-01,106.75,108.57,106.25,108.25,732632
2015-06-02,108.25,109.5,108.0,109.12,1994908
2015-06-03,109.25,110.25,109.0,109.88,1490771
2015-06-04,110.0,110.25,109.55,109.93,1086248
2015-06-05,110.0,110.75,109.82,110.12,1486687
2015-06-08,110.75,112.17,110.1,110.95,1730357
2015-06-09,112.0,113.0,112.0,112.25,1632723
2015-06-10,113.0,113.7,112.75,113.19,923516
2015-06-11,113.0,113.0,110.94,111.5,1131184
2015-06-12,111.25,111.87,111.0,111.75,865197
2015-06-15,111.75,112.5,110.5,110.5,1315571
2015-06-16,112.0,112.24,110.0,112.0,915810
2015-06-17,111.75,112.15,111.25,111.35,2234958
2015-06-18,112.0,113.5,110.75,112.25,6894224
2015-06-19,112.5,116.0,111.25,113.0,33550567
2015-06-22,116.0,116.5,114.5,115.6,2006062
2015-06-23,115.8,117.0,113.1,113.25,2715793
2015-06-24,114.1,114.35,111.5,111.5,1698369
2015-06-25,113.9,114.0,113.0,113.54,1059953
2015-06-26,112.4,115.07,112.3,113.8,914538
2015-06-29,113.3,113.3,111.35,112.6,378484
2015-06-30,112.7,114.2,111.8,114.01,653915
2015-07-01,113.4,113.96,113.0,113.7,283588
2015-07-02,113.9,114.35,113.2,114.0,597301
2015-07-03,114.1,114.1,112.73,112.73,115155
2015-07-06,113.0,113.3,112.16,112.66,79926
2015-07-07,113.3,113.3,111.5,112.3,156480
2015-07-08,111.8,111.95,109.76,110.8,759011
2015-07-09,110.3,113.5,110.3,112.9,469405
2015-07-10,113.5,114.0,112.83,114.0,261975
2015-07-13,114.0,114.5,113.17,114.5,519754
2015-07-14,114.5,115.7,113.68,115.26,446666
2015-07-15,115.5,115.5,114.0,115.11,281098
2015-07-16,115.1,115.53,114.5,115.53,216109
2015-07-17,115.5,115.9,114.5,115.66,303360
2015-07-20,115.0,116.4,115.0,116.1,244696
2015-07-21,116.2,116.8,115.57,116.68,107564
2015-07-22,116.3,116.3,114.75,115.74,542118
2015-07-23,115.5,116.36,114.9,115.91,495984
2015-07-24,116.5,116.61,114.9,115.7,148158
2015-07-27,115.8,116.88,115.5,116.4,342328
2015-07-28,116.9,116.9,115.88,116.0,152826
2015-07-29,116.5,116.74,115.0,115.2,231036
2015-07-30,115.8,115.8,114.5,115.0,240733
2015-07-31,115.4,115.55,114.7,115.1,50567
2015-08-03,115.8,116.2,115.8,115.8,101464
2015-08-04,116.0,116.5,115.17,116.5,88703
2015-08-05,116.5,118.0,115.6,117.4,721639
2015-08-06,118.0,119.5,117.21,119.1,1095108
2015-08-07,119.4,119.7,118.48,119.3,724308
2015-08-10,119.5,120.4,118.9,119.6,679484
2015-08-11,117.0,117.1,114.75,114.75,2006730
2015-08-12,115.6,115.66,114.75,115.5,1716291
2015-08-13,115.5,115.7,114.83,115.5,299837
2015-08-14,115.5,116.9,115.41,116.32,773075
2015-08-17,116.4,116.9,116.3,116.5,568039
2015-08-18,117.1,117.3,116.6,117.1,388257
2015-08-19,115.4,117.2,115.4,117.1,320825
2015-08-20,117.1,117.1,115.6,116.37,809286
2015-08-21,115.8,116.02,112.6,113.02,819512
2015-08-24,112.0,112.5,105.0,110.11,2371699
2015-08-25,107.0,109.5,105.98,109.0,1034173
2015-08-26,108.0,111.1,107.54,109.3,1979479
2015-08-27,112.0,114.0,111.5,113.17,736316
2015-08-28,113.9,114.5,113.0,113.9,596986
2015-09-01,112.5,114.0,111.5,113.38,664419
2015-09-02,114.0,114.5,113.5,114.3,675289
2015-09-03,114.4,114.88,114.0,114.7,776287
2015-09-04,114.0,114.45,112.5,113.45,775660
2015-09-07,114.0,114.37,113.25,113.8,249348
2015-09-08,113.5,114.5,113.5,114.0,276838
2015-09-09,114.4,114.6,113.3,114.4,1214252
2015-09-10,114.4,114.5,113.14,113.14,308016
2015-09-11,114.5,114.5,113.75,114.4,389505
2015-09-14,113.7,114.72,113.7,114.28,131811
2015-09-15,113.4,114.78,113.4,114.58,41378
2015-09-16,114.1,114.9,113.3,114.1,142260
2015-09-17,114.0,114.7,113.4,114.2,153528
2015-09-18,113.0,114.32,112.08,112.8,712880
2015-09-21,114.5,114.5,113.1,113.8,136895
2015-09-22,113.0,113.93,110.6,111.7,666591
2015-09-23,111.5,112.9,111.49,112.7,232514
2015-09-24,112.0,112.88,109.6,110.75,1007085
2015-09-25,110.6,111.2,108.5,108.67,449861
2015-09-28,109.8,109.82,105.34,105.87,885836
2015-09-29,105.0,105.49,101.88,103.1,1603666
2015-09-30,105.0,105.1,103.99,104.6,291438
2015-10-01,106.0,106.71,105.22,106.5,235614
2015-10-02,105.9,108.0,105.0,107.77,681937
2015-10-05,108.0,109.42,107.6,108.99,95682
2015-10-06,108.0,109.5,105.5,106.3,456160
2015-10-07,106.0,107.25,104.0,104.7,445893
2015-10-08,104.8,105.6,102.7,103.45,645897
2015-10-09,106.0,106.28,104.1,104.4,481561
2015-10-12,104.1,106.4,104.1,105.66,281303
2015-10-13,105.3,106.0,103.4,105.0,543776
2015-10-14,103.2,105.2,103.2,103.92,73340
2015-10-15,105.7,105.7,103.3,104.85,266226
2015-10-16,104.5,105.8,104.0,104.2,233453
2015-10-19,104.5,105.44,102.8,103.4,445464
2015-10-20,103.8,105.0,103.5,104.43,167842
2015-10-21,105.0,105.4,103.5,104.5,378212
2015-10-22,103.0,104.66,103.0,104.5,325012
2015-10-23,103.2,105.0,103.2,104.3,185630
2015-10-26,104.6,104.8,103.3,104.5,234981
2015-10-27,105.5,105.5,103.0,103.9,170907
2015-10-28,103.2,104.9,103.2,104.07,144162
2015-10-29,103.8,104.5,103.0,103.7,355999
2015-10-30,104.1,104.5,103.5,104.0,116916
2015-11-02,104.9,104.9,103.0,104.0,45590
2015-11-03,103.9,104.4,103.5,104.0,19309
2015-11-04,105.3,105.5,102.3,104.0,653002
2015-11-05,104.5,104.5,102.5,102.6,247576
2015-11-06,102.5,103.3,101.75,102.5,378376
2015-11-09,102.5,103.04,102.1,102.9,195686
2015-11-10,103.0,104.2,102.8,103.85,150460
2015-11-11,103.9,104.4,103.3,104.0,132128
2015-11-12,104.0,104.0,102.2,103.1,371280
2015-11-13,102.1,102.73,100.22,101.4,204013
2015-11-16,100.0,101.0,99.5,100.5,494637
2015-11-17,101.5,103.4,101.0,103.0,198030
2015-11-18,101.6,103.3,101.0,103.0,403222
2015-11-19,102.3,103.31,101.49,102.1,207433
2015-11-20,102.1,102.8,101.43,102.7,220182
2015-11-23,102.0,103.0,101.47,101.5,57878
2015-11-24,101.1,103.3,101.1,102.1,778317
2015-11-25,102.5,104.0,102.5,104.0,115541
2015-11-26,102.0,104.5,102.0,104.5,161809
2015-11-27,102.4,103.86,102.4,103.25,98366
2015-11-30,103.0,103.0,101.7,103.0,129717
2015-12-01,101.7,103.9,101.5,102.59,91111
2015-12-02,103.0,103.0,101.2,101.45,466932
2015-12-03,101.1,102.05,100.4,100.5,344986
2015-12-04,102.0,102.0,100.0,100.1,152719
2015-12-07,101.5,101.5,99.6,100.2,169308
2015-12-08,101.0,101.0,99.0,99.65,263471
2015-12-09,100.0,100.28,99.0,99.4,225547
2015-12-10,99.2,99.93,98.1,98.9,202473
2015-12-11,99.2,99.8,97.0,97.15,224104
