Date,Open,High,Low,Close,Volume
2013-01-02,899.5,924.0,892.5,916.26,2620996
2013-01-03,923.5,926.0,911.0,915.81,2190319
2013-01-04,918.5,925.59,911.0,925.5,2190757
2013-01-07,925.0,925.5,914.0,917.5,1553049
2013-01-08,915.5,921.0,908.5,908.5,3396604
2013-01-09,909.0,911.0,905.5,907.9,2625532
2013-01-10,907.0,921.5,905.0,920.5,2195479
2013-01-11,921.5,940.5,920.5,939.5,4096903
2013-01-14,939.5,945.5,931.5,945.0,2829600
2013-01-15,948.0,962.0,946.0,962.0,5937712
2013-01-16,956.5,962.0,954.0,955.0,4052032
2013-01-17,953.0,965.5,951.0,955.0,3375748
2013-01-18,963.5,980.5,960.0,971.85,3641507
2013-01-21,973.5,974.0,969.5,970.93,1583637
2013-01-22,971.0,972.5,964.58,966.5,2373454
2013-01-23,966.5,968.5,956.5,958.17,3657950
2013-01-24,958.0,979.5,957.0,958.35,2214716
2013-01-25,972.0,980.0,970.5,980.0,2577702
2013-01-28,979.0,980.0,970.0,975.35,2512534
2013-01-29,970.0,980.0,969.5,977.5,2356473
2013-01-30,994.5,1005.0,988.0,999.82,4815454
2013-01-31,988.0,998.5,985.5,994.2,4460753
2013-02-01,996.0,1014.0,996.0,1010.0,3166395
2013-02-04,1013.0,1013.0,994.0,994.5,2359537
2013-02-05,993.5,1010.0,991.0,1002.0,2435536
2013-02-06,1008.0,1017.0,1004.0,1008.96,1986810
2013-02-07,1009.0,1009.5,993.5,1001.0,2547414
2013-02-08,1004.0,1019.0,1002.0,1010.8,1854237
2013-02-11,1015.0,1019.0,1007.0,1011.0,1812713
2013-02-12,1010.0,1013.0,1003.0,1007.61,2127063
2013-02-13,1013.0,1027.0,1007.0,1025.0,2507546
2013-02-14,1026.0,1027.0,1015.0,1019.0,1882185
2013-02-15,1018.0,1051.0,1016.0,1027.1,3487150
2013-02-18,1045.0,1047.0,1035.0,1038.1,1604832
2013-02-19,1036.0,1063.0,1036.0,1060.0,1857837
2013-02-20,1060.0,1071.0,1057.0,1067.0,1546263
2013-02-21,1061.0,1064.0,1030.0,1033.0,2954187
2013-02-22,1032.0,1044.0,1030.0,1035.0,2381145
2013-02-25,1040.0,1054.0,1036.42,1042.0,2600121
2013-02-26,1033.0,1035.0,1022.0,1029.0,2576627
2013-02-27,1029.0,1037.0,1021.0,1033.41,2629171
2013-02-28,1042.0,1058.0,1031.0,1048.2,3122423
2013-03-01,1054.0,1083.0,1035.21,1058.0,3409590
2013-03-04,1063.0,1078.0,1060.0,1072.23,2432142
2013-03-05,1053.0,1091.0,1052.0,1080.0,2775710
2013-03-06,1085.0,1089.0,1074.0,1081.62,2395072
2013-03-07,1074.0,1089.0,1072.0,1085.61,3647874
2013-03-08,1094.0,1096.0,1082.0,1088.0,3456150
2013-03-11,1085.0,1090.0,1071.0,1077.0,3087002
2013-03-12,1075.0,1096.0,1074.24,1092.0,1927157
2013-03-13,1089.0,1090.0,1077.0,1080.11,2069481
2013-03-14,1095.0,1095.0,1075.0,1081.0,3073459
2013-03-15,1091.0,1091.0,1076.0,1080.56,4045426
2013-03-18,1062.0,1082.0,1060.0,1075.11,1690988
2013-03-19,1081.0,1083.7,1076.0,1081.0,1852926
2013-03-20,1087.0,1089.0,1074.0,1076.0,1986127
2013-03-21,1075.0,1075.84,1055.45,1055.45,2101046
2013-03-22,1058.0,1069.0,1058.0,1059.0,1609126
2013-03-25,1068.0,1073.0,1047.0,1050.0,1673748
2013-03-26,1052.0,1055.0,1044.0,1044.0,1802326
2013-03-27,1044.0,1050.0,1027.73,1041.0,2074579
2013-03-28,1041.0,1056.0,1038.0,1049.0,2371796
2013-04-02,1049.0,1073.0,1047.0,1064.27,2607242
2013-04-03,1067.0,1078.0,1062.57,1069.0,1680545
2013-04-04,1070.0,1076.0,1056.0,1056.0,2682215
2013-04-05,1053.0,1053.0,1020.0,1024.0,2542571
2013-04-08,1044.0,1052.0,1032.0,1034.0,2584423
2013-04-09,1042.0,1043.0,1027.0,1032.0,1655359
2013-04-10,1035.0,1053.0,1032.0,1051.0,2249545
2013-04-11,1048.0,1081.0,1047.0,1064.64,2353696
2013-04-12,1074.0,1082.0,1067.0,1078.0,2096240
2013-04-15,1077.0,1080.0,1024.64,1040.0,4041025
2013-04-16,1050.0,1053.0,1039.0,1048.0,2636677
2013-04-17,1057.0,1058.0,1022.0,1027.0,2632950
2013-04-18,1033.0,1033.14,1024.0,1027.0,2736088
2013-04-19,1034.0,1047.0,1023.0,1047.0,2503502
2013-04-22,1047.0,1057.0,1028.0,1034.0,2115137
2013-04-23,1039.0,1078.5,1033.0,1072.0,2386894
2013-04-24,1071.0,1079.0,1057.0,1066.0,1931237
2013-04-25,1065.0,1078.0,1057.0,1075.0,2199631
2013-04-26,1085.0,1090.0,1054.0,1065.0,2697054
2013-04-29,1053.0,1064.0,1044.0,1060.0,2623350
2013-04-30,1052.0,1067.0,1050.0,1064.0,2660454
2013-05-01,1072.0,1099.0,1057.0,1064.0,1324453
2013-05-02,1066.0,1085.0,1064.0,1082.0,2217613
2013-05-03,1085.0,1089.5,1076.0,1083.35,2060408
2013-05-07,1083.0,1094.55,1073.0,1094.0,2388838
2013-05-08,1099.0,1124.23,1095.0,1119.0,2405849
2013-05-09,1117.0,1120.0,1097.0,1108.0,2646389
2013-05-10,1103.0,1124.0,1098.0,1119.03,1324148
2013-05-13,1125.0,1133.0,1119.0,1125.0,2060018
2013-05-14,1128.0,1147.0,1120.0,1147.0,2700694
2013-05-15,1145.0,1157.0,1138.0,1156.0,2212674
2013-05-16,1158.0,1165.0,1148.0,1155.0,2076562
2013-05-17,1153.0,1160.0,1145.0,1157.0,1449034
2013-05-20,1165.0,1169.5,1156.0,1165.0,1691446
2013-05-21,1165.0,1173.0,1161.0,1172.0,2818482
2013-05-22,1178.0,1182.0,1169.0,1178.0,1754742
2013-05-23,1164.0,1168.0,1147.0,1162.0,2224462
2013-05-24,1164.0,1168.0,1139.0,1146.0,1997134
2013-05-28,1157.0,1192.0,1155.0,1190.0,2899626
2013-05-29,1184.0,1185.0,1148.0,1148.0,2146724
2013-05-30,1148.0,1166.0,1144.0,1165.0,1551165
2013-05-31,1159.0,1159.0,1122.0,1128.0,4305079
2013-06-03,1125.0,1130.28,1111.0,1112.0,1909730
2013-06-04,1121.0,1131.0,1117.0,1120.0,1444094
2013-06-05,1099.0,1112.0,1087.0,1101.0,2996228
2013-06-06,1112.0,1130.0,1096.0,1100.0,3128854
2013-06-07,1093.0,1115.0,1087.0,1113.0,2357371
2013-06-10,1110.0,1126.0,1107.52,1110.0,2771635
2013-06-11,1111.0,1113.0,1095.0,1102.0,2372073
2013-06-12,1102.0,1128.0,1098.0,1109.0,2730589
2013-06-13,1097.0,1131.0,1086.0,1128.0,3804770
2013-06-14,1127.0,1134.0,1116.0,1120.0,1563244
2013-06-17,1117.0,1127.0,1104.0,1125.0,2394243
2013-06-18,1127.0,1140.0,1125.0,1135.0,2713787
2013-06-19,1139.0,1140.0,1125.0,1134.0,1958534
2013-06-20,1114.0,1121.0,1093.0,1106.0,2958592
2013-06-21,1113.0,1122.0,1088.89,1089.0,4691266
2013-06-24,1087.0,1092.0,1055.0,1056.0,2648853
2013-06-25,1061.0,1074.0,1051.0,1072.0,3990833
2013-06-26,1074.0,1084.0,1070.0,1079.0,2509414
2013-06-27,1086.0,1131.0,1084.0,1128.0,3376248
2013-06-28,1126.0,1133.0,1116.0,1122.0,2720171
2013-07-01,1134.0,1154.0,1123.0,1152.0,2477552
2013-07-02,1153.0,1155.0,1138.0,1143.0,1806627
2013-07-03,1135.0,1142.0,1128.0,1131.0,1364149
2013-07-04,1138.0,1170.0,1136.0,1168.0,2325577
2013-07-05,1168.0,1186.0,1153.0,1155.0,1837500
2013-07-08,1164.0,1186.64,1158.0,1179.0,1903738
2013-07-09,1189.0,1198.0,1168.0,1171.0,1706760
2013-07-10,1167.0,1183.0,1167.0,1173.0,1783265
2013-07-11,1189.0,1196.0,1173.0,1176.0,1559489
2013-07-12,1180.0,1207.27,1178.0,1200.0,2326551
2013-07-15,1205.0,1213.0,1199.0,1200.0,1573863
2013-07-16,1199.0,1205.0,1170.0,1172.0,2045819
2013-07-17,1178.0,1189.42,1164.53,1168.0,2076037
2013-07-18,1177.0,1212.0,1177.0,1210.0,3240816
2013-07-19,1203.0,1212.0,1178.0,1200.0,3039759
2013-07-22,1200.0,1203.0,1180.0,1184.0,951692
2013-07-23,1191.0,1192.0,1174.0,1174.0,1490940
2013-07-24,1180.0,1188.0,1172.0,1181.0,1127638
2013-07-25,1178.0,1186.0,1155.0,1180.0,1777166
2013-07-26,1183.0,1191.0,1162.0,1175.0,1493540
2013-07-29,1225.0,1231.0,1178.0,1182.0,6285101
2013-07-30,1199.0,1199.0,1168.0,1173.0,1947481
2013-07-31,1170.0,1191.0,1168.0,1184.0,2812318
2013-08-01,1194.0,1208.0,1187.0,1202.0,4058438
2013-08-02,1200.0,1207.0,1191.0,1197.0,2512992
2013-08-05,1196.0,1200.0,1190.0,1193.0,1732826
2013-08-06,1191.0,1200.0,1184.0,1192.0,1855288
2013-08-07,1195.0,1195.0,1169.0,1175.0,2185375
2013-08-08,1179.0,1193.0,1174.0,1188.0,1864935
2013-08-09,1186.0,1198.0,1183.0,1190.0,1282924
2013-08-12,1192.0,1194.0,1173.0,1178.0,2080076
2013-08-13,1179.0,1193.0,1172.0,1186.0,1610542
2013-08-14,1188.0,1193.0,1179.0,1189.0,1572852
2013-08-15,1187.0,1195.0,1163.0,1168.0,1802028
2013-08-16,1172.0,1174.0,1151.0,1164.0,2173611
2013-08-19,1165.0,1173.0,1158.0,1170.0,1175308
2013-08-20,1164.0,1169.0,1148.0,1166.0,2281448
2013-08-21,1172.0,1196.0,1167.0,1191.0,2690318
2013-08-22,1193.0,1197.0,1182.0,1191.0,2302538
2013-08-23,1192.0,1226.0,1189.0,1221.0,3323566
2013-08-27,1209.0,1221.0,1191.0,1201.0,3878807
2013-08-28,1192.0,1208.0,1175.0,1178.0,3313110
2013-08-29,1172.0,1246.0,1172.0,1227.0,4268312
2013-08-30,1254.0,1258.0,1195.0,1195.0,5333434
2013-09-02,1230.0,1253.0,1215.0,1237.0,2804224
2013-09-03,1245.0,1245.0,1216.0,1233.0,3371538
2013-09-04,1244.0,1245.0,1227.0,1240.0,2559475
2013-09-05,1248.0,1256.0,1236.0,1244.0,3352722
2013-09-06,1245.0,1253.0,1239.0,1250.0,2869545
2013-09-09,1252.0,1256.0,1245.0,1252.0,1466904
2013-09-10,1253.0,1284.0,1245.0,1277.0,2340023
2013-09-11,1281.0,1286.0,1266.0,1274.0,2190328
2013-09-12,1278.0,1289.0,1266.0,1280.0,2271879
2013-09-13,1287.0,1293.0,1282.0,1292.0,2037808
2013-09-16,1310.0,1313.0,1288.0,1296.0,2560345
2013-09-17,1297.0,1305.0,1287.0,1294.0,3571072
2013-09-18,1299.0,1306.0,1285.0,1286.0,2210505
2013-09-19,1302.0,1307.0,1277.0,1284.0,2900961
2013-09-20,1278.0,1297.0,1278.0,1293.0,7968103
2013-09-24,1270.0,1299.0,1265.0,1292.0,2411190
2013-09-25,1293.0,1298.0,1274.0,1285.0,3410439
2013-09-26,1284.0,1290.0,1275.0,1284.0,1804828
2013-09-27,1289.0,1294.0,1276.0,1282.0,2018036
2013-09-30,1266.0,1273.0,1257.0,1270.0,2478043
2013-10-01,1271.0,1278.0,1262.0,1265.0,2501312
2013-10-02,1262.0,1268.0,1244.0,1258.0,2024870
2013-10-03,1263.0,1269.0,1253.0,1257.0,1730291
2013-10-04,1255.0,1263.0,1246.0,1254.0,2093896
2013-10-07,1250.0,1261.0,1239.0,1261.0,1678410
2013-10-08,1260.0,1265.0,1234.0,1237.0,2023620
2013-10-09,1220.0,1231.0,1211.0,1215.0,1979068
2013-10-10,1214.0,1244.0,1209.0,1238.0,2868791
2013-10-11,1240.0,1246.0,1236.0,1238.0,1591909
2013-10-14,1235.0,1246.0,1235.0,1238.78,1157516
2013-10-15,1254.0,1281.0,1254.0,1281.0,3514304
2013-10-16,1275.0,1292.0,1254.0,1290.0,3693005
2013-10-17,1289.0,1290.0,1271.0,1276.0,2532238
2013-10-18,1286.0,1292.0,1274.0,1286.0,2920243
2013-10-21,1284.0,1311.0,1284.0,1307.0,1912968
2013-10-22,1305.0,1314.0,1301.0,1310.0,2398279
2013-10-23,1308.0,1322.0,1304.0,1313.0,2323142
2013-10-24,1342.0,1349.0,1315.0,1325.0,3843559
2013-10-25,1319.0,1346.0,1319.0,1344.0,2837662
2013-10-28,1348.0,1350.0,1320.0,1334.0,2062729
2013-10-29,1332.0,1337.0,1319.0,1327.0,2213006
