Date,Open,High,Low,Close,Volume
2012-01-03,453.4,461.9,449.61,459.9,89255
2012-01-04,459.5,463.9,452.31,453.8,56330
2012-01-05,453.8,455.3,448.22,448.6,107664
2012-01-06,448.5,455.0,448.5,450.9,48757
2012-01-09,451.0,454.79,448.3,448.3,60506
2012-01-10,452.2,455.55,452.2,454.6,24110
2012-01-11,457.0,457.0,451.91,453.6,60739
2012-01-12,453.1,456.0,451.0,454.3,84699
2012-01-13,455.4,458.75,454.5,454.8,64409
2012-01-16,454.0,459.6,452.4,459.6,61818
2012-01-17,464.9,470.9,457.21,462.0,63170
2012-01-18,462.0,466.2,458.0,464.4,149211
2012-01-19,466.0,471.5,463.2,465.1,127959
2012-01-20,470.2,471.6,465.0,468.0,81870
2012-01-23,470.4,472.27,467.8,470.0,124999
2012-01-24,472.9,472.9,464.4,469.6,191996
2012-01-25,471.0,471.2,465.1,467.2,103528
2012-01-26,467.8,474.5,466.6,473.0,79772
2012-01-27,467.0,472.4,466.1,467.0,115434
2012-01-30,469.9,469.9,461.0,465.3,125060
2012-01-31,463.9,467.9,462.2,462.2,127771
2012-02-01,466.3,473.0,464.0,472.0,173952
2012-02-02,472.9,474.0,469.5,474.0,94912
2012-02-03,474.0,483.1,473.0,483.1,164015
2012-02-06,479.0,483.9,479.0,483.6,51612
2012-02-07,482.0,484.84,481.0,484.0,106723
2012-02-08,486.4,486.4,483.5,484.7,54584
2012-02-09,484.3,488.0,484.3,484.3,73973
2012-02-10,481.2,484.9,479.0,482.6,102444
2012-02-13,489.0,489.0,481.4,488.9,37828
2012-02-14,490.0,490.0,484.5,486.5,30291
2012-02-15,488.4,489.9,484.97,485.0,88276
2012-02-16,484.0,484.0,480.0,482.8,39574
2012-02-17,486.6,490.0,483.8,489.0,27157
2012-02-20,486.3,492.3,486.0,492.3,29494
2012-02-21,485.6,491.0,484.86,491.0,62698
2012-02-22,491.0,493.6,489.27,493.6,57433
2012-02-23,492.5,495.3,490.4,495.3,58998
2012-02-24,493.0,500.0,492.2,496.6,90771
2012-02-27,492.9,496.7,490.11,493.4,32352
2012-02-28,496.7,497.9,491.6,497.3,115617
2012-02-29,491.7,492.0,485.6,485.6,95809
2012-03-01,488.8,490.0,485.51,488.2,51398
2012-03-02,489.0,492.8,489.0,490.5,27909
2012-03-05,488.5,491.0,484.0,489.4,16528
2012-03-06,488.3,488.3,480.0,487.0,61238
2012-03-07,480.0,485.3,480.0,482.6,39751
2012-03-08,488.3,488.7,484.0,487.6,40137
2012-03-09,490.0,493.0,486.52,492.6,26679
2012-03-12,488.7,493.5,488.7,491.7,12925
2012-03-13,495.0,498.0,491.6,498.0,106787
2012-03-14,498.0,504.5,498.0,502.0,109544
2012-03-15,504.5,504.5,498.1,502.0,144307
2012-03-16,498.7,503.0,497.7,503.0,273676
2012-03-19,502.5,505.5,497.4,505.5,111824
2012-03-20,503.0,503.0,497.0,497.5,60853
2012-03-21,497.5,500.89,495.5,498.4,33147
2012-03-22,496.8,500.44,492.7,498.0,32628
2012-03-23,493.7,497.6,490.0,493.7,35930
2012-03-26,495.6,499.8,494.0,498.5,27313
2012-03-27,502.5,503.78,497.0,499.75,34832
2012-03-28,498.5,500.5,495.19,496.4,27180
2012-03-29,496.9,497.0,491.3,491.3,76889
2012-03-30,493.9,495.9,490.1,490.5,99877
2012-04-02,492.4,496.5,488.8,496.5,57719
2012-04-03,496.0,498.5,494.9,498.5,52207
2012-04-04,496.5,496.5,487.21,488.8,39133
2012-04-05,491.4,491.41,486.0,489.5,43945
2012-04-10,486.5,486.5,474.8,474.8,64746
2012-04-11,475.7,479.3,472.7,479.3,51159
2012-04-12,478.5,481.25,472.2,480.5,54853
2012-04-13,482.5,482.5,476.0,476.9,43484
2012-04-16,479.0,480.4,475.8,475.8,76719
2012-04-17,475.9,484.1,475.42,484.1,65729
2012-04-18,482.9,482.9,476.7,482.0,39960
2012-04-19,478.0,481.4,476.5,477.3,32002
2012-04-20,477.0,480.7,475.91,480.7,46942
2012-04-23,476.5,476.5,467.6,472.0,85338
2012-04-24,468.1,473.8,468.1,473.8,45380
2012-04-25,475.5,479.0,471.9,479.0,108742
2012-04-26,474.8,478.5,470.85,474.7,62764
2012-04-27,471.6,479.0,471.6,479.0,48241
2012-04-30,473.9,480.09,472.0,475.5,27096
2012-05-01,473.9,480.4,471.2,480.0,68460
2012-05-02,477.0,479.8,475.0,476.2,90376
2012-05-03,481.6,482.0,474.2,477.4,36579
2012-05-04,476.3,478.5,467.4,470.4,33684
2012-05-08,469.3,472.0,458.9,458.9,79884
2012-05-09,459.5,460.8,454.0,455.2,81260
2012-05-10,456.8,459.5,454.0,458.5,52586
2012-05-11,453.7,461.6,453.7,461.5,84393
2012-05-14,453.2,455.5,450.0,455.0,62406
2012-05-15,455.3,457.7,448.1,452.4,68240
2012-05-16,444.1,451.0,444.1,449.2,61209
2012-05-17,447.9,450.0,442.6,444.9,100966
2012-05-18,442.3,444.6,438.51,439.1,77461
2012-05-21,440.1,442.18,437.0,438.8,115830
2012-05-22,438.9,442.3,437.4,440.1,180834
2012-05-23,439.3,440.97,433.0,434.0,62369
2012-05-24,438.9,438.9,433.2,437.7,48462
2012-05-25,438.5,440.76,435.0,437.5,57362
2012-05-28,441.0,441.0,433.4,435.8,64484
2012-05-29,439.0,439.0,434.46,437.7,32114
2012-05-30,436.0,436.9,432.0,434.5,61720
2012-05-31,437.7,437.7,431.2,431.5,46066
2012-06-01,433.0,434.44,425.6,429.5,83053
2012-06-06,430.14,437.5,429.33,437.5,48016
2012-06-07,437.0,443.0,435.5,442.2,121576
2012-06-08,440.0,442.5,436.0,441.7,50144
