Date,Open,High,Low,Close,Volume
2012-01-03,1592.0,1604.75,1568.0,1598.0,502857
2012-01-04,1598.0,1605.0,1575.0,1579.0,341064
2012-01-05,1576.0,1583.59,1564.39,1566.0,559089
2012-01-06,1572.0,1620.0,1552.46,1589.0,581871
2012-01-09,1597.0,1620.12,1593.11,1597.0,442064
2012-01-10,1617.0,1651.0,1612.0,1645.0,648012
2012-01-11,1637.0,1663.0,1622.0,1629.0,506137
2012-01-12,1620.0,1661.0,1620.0,1638.0,500487
2012-01-13,1653.0,1659.32,1622.0,1628.0,537615
2012-01-16,1627.0,1631.0,1611.0,1616.0,507501
2012-01-17,1639.0,1639.0,1617.0,1620.0,524425
2012-01-18,1627.0,1640.0,1613.0,1629.0,628873
2012-01-19,1635.0,1676.0,1629.11,1663.0,659890
2012-01-20,1678.0,1681.0,1647.0,1663.0,625045
2012-01-23,1671.0,1688.0,1654.0,1682.0,374588
2012-01-24,1671.0,1677.0,1656.0,1662.0,358774
2012-01-25,1670.0,1688.0,1665.17,1680.0,566488
2012-01-26,1683.0,1697.0,1675.0,1691.0,338039
2012-01-27,1688.0,1704.0,1668.0,1690.0,458781
2012-01-30,1645.0,1661.58,1622.0,1644.0,627820
2012-01-31,1647.0,1671.0,1634.0,1644.0,620350
2012-02-01,1644.0,1684.0,1644.0,1664.0,640541
2012-02-02,1673.0,1683.0,1663.0,1673.0,317705
2012-02-03,1667.0,1719.0,1667.0,1716.0,461917
2012-02-06,1711.0,1715.0,1700.0,1706.0,371062
2012-02-07,1706.0,1707.0,1681.0,1696.0,426210
2012-02-08,1702.0,1707.0,1674.0,1684.0,406766
2012-02-09,1689.0,1719.0,1678.0,1705.0,534996
2012-02-10,1704.0,1715.0,1691.0,1698.0,578708
2012-02-13,1714.0,1722.0,1698.0,1714.0,377714
2012-02-14,1707.0,1731.0,1705.0,1725.0,291910
2012-02-15,1734.0,1739.0,1714.0,1720.0,267081
2012-02-16,1712.0,1718.0,1696.0,1716.0,228758
2012-02-17,1720.0,1735.0,1711.0,1726.0,300556
2012-02-20,1732.0,1739.0,1715.0,1726.0,355341
2012-02-21,1728.0,1730.0,1699.0,1706.0,392109
2012-02-22,1712.0,1718.0,1694.0,1704.0,391348
2012-02-23,1705.0,1709.0,1682.0,1702.0,534433
2012-02-24,1709.0,1709.0,1696.0,1703.0,228601
2012-02-27,1702.0,1720.0,1689.0,1720.0,509155
2012-02-28,1684.0,1709.17,1661.0,1709.0,1177155
2012-02-29,1701.0,1713.0,1693.0,1697.0,512349
2012-03-01,1691.0,1699.0,1678.0,1687.0,864657
2012-03-02,1687.0,1687.0,1672.0,1672.0,341944
2012-03-05,1666.0,1684.0,1660.0,1665.0,333824
2012-03-06,1667.0,1669.0,1633.0,1637.0,480462
2012-03-07,1637.0,1658.0,1637.0,1652.0,540385
2012-03-08,1661.0,1675.0,1641.0,1669.0,459086
2012-03-09,1675.0,1694.0,1661.0,1686.0,490709
2012-03-12,1681.0,1698.05,1681.0,1691.0,216532
2012-03-13,1700.0,1725.0,1697.0,1719.0,342890
2012-03-14,1725.0,1740.0,1715.0,1718.0,406640
2012-03-15,1727.0,1729.0,1695.0,1710.0,401423
2012-03-16,1715.0,1734.0,1700.55,1714.0,566670
2012-03-19,1717.0,1726.11,1698.11,1721.0,368874
2012-03-20,1723.0,1744.0,1721.5,1730.0,641920
2012-03-21,1735.0,1752.0,1729.0,1747.0,637136
2012-03-22,1739.0,1757.0,1737.0,1748.0,658599
2012-03-23,1755.0,1785.0,1748.11,1761.0,728646
2012-03-26,1763.0,1790.0,1753.0,1779.0,605826
2012-03-27,1788.0,1818.0,1767.0,1810.0,1081772
2012-03-28,1803.0,1889.0,1801.0,1849.0,2034222
2012-03-29,1850.0,1857.0,1829.11,1839.0,719311
2012-03-30,1840.0,1860.0,1839.0,1844.0,908860
2012-04-02,1846.0,1870.02,1838.0,1866.0,907498
2012-04-03,1872.0,1881.0,1863.0,1870.0,1025443
2012-04-04,1871.0,1874.0,1837.0,1845.0,1251758
2012-04-05,1846.0,1854.0,1836.0,1849.0,558454
2012-04-10,1839.0,1848.0,1813.0,1815.0,718398
2012-04-11,1810.0,1822.0,1779.0,1809.0,1047209
2012-04-12,1815.0,1855.0,1808.85,1852.0,666630
2012-04-13,1852.0,1852.0,1825.0,1827.0,587101
2012-04-16,1819.0,1850.0,1815.0,1841.0,518686
2012-04-17,1840.0,1874.0,1838.0,1872.0,612221
2012-04-18,1870.0,1870.7,1833.0,1839.0,779166
2012-04-19,1849.0,1860.92,1830.0,1835.0,588394
2012-04-20,1835.0,1842.0,1825.0,1830.0,529178
2012-04-23,1828.0,1828.0,1790.0,1800.0,433524
2012-04-24,1809.0,1817.72,1793.0,1811.0,457137
2012-04-25,1824.0,1826.0,1792.0,1809.0,493977
2012-04-26,1885.0,1921.19,1840.0,1921.0,1129407
2012-04-27,1906.0,1925.0,1896.0,1907.0,802845
2012-04-30,1917.0,1948.0,1908.0,1927.0,818870
2012-05-01,1932.0,1954.0,1927.0,1946.0,301416
2012-05-02,1958.0,1979.0,1946.0,1973.0,685920
2012-05-03,1987.0,2008.0,1977.45,2006.0,896792
