Date,Open,High,Low,Close,Volume
2012-01-03,935.0,945.12,935.0,935.0,8982.0
2012-01-04,935.0,943.5,935.0,935.0,6448.0
2012-01-05,935.0,941.87,935.0,935.0,11983.0
2012-01-06,950.0,950.0,935.0,936.0,8300.0
2012-01-09,900.0,905.0,770.0,803.27,813719.0
2012-01-10,800.0,836.18,800.0,808.5,39611.0
2012-01-11,805.5,842.0,800.0,803.0,19461.0
2012-01-12,810.0,848.0,810.0,820.0,37528.0
2012-01-13,816.0,831.04,810.5,825.33,24589.0
2012-01-16,805.0,832.0,805.0,824.14,12700.0
2012-01-17,850.0,851.0,826.0,850.0,13837.0
2012-01-18,837.5,855.0,823.5,832.5,98283.0
2012-01-19,843.0,856.5,832.5,836.0,11733.0
2012-01-20,830.0,857.5,830.0,841.51,3354.0
2012-01-23,840.0,874.5,840.0,841.0,9835.0
2012-01-24,840.0,875.0,840.0,851.0,3903.0
2012-01-25,855.0,884.9,855.0,883.0,16548.0
2012-01-26,877.0,899.0,871.57,871.57,21783.0
2012-01-27,898.0,942.41,898.0,903.96,31060.0
2012-01-30,917.0,968.0,917.0,957.0,543229.0
2012-01-31,960.0,964.1,948.5,958.56,10460.0
2012-02-01,959.0,1025.0,954.0,958.56,244822.0
2012-02-02,998.0,998.0,984.5,992.0,1481.0
2012-02-03,980.0,1040.0,980.0,987.0,13384.0
2012-02-06,973.0,1014.0,970.0,981.0,9841.0
2012-02-07,985.0,1004.0,970.0,998.5,7249.0
2012-02-08,987.0,1003.97,987.0,995.0,2845.0
2012-02-09,1008.0,1019.0,988.02,1010.0,6977.0
2012-02-10,1018.0,1035.0,1010.0,1017.0,8055.0
2012-02-13,1012.0,1108.79,1012.0,1088.37,10456.0
2012-02-14,1094.0,1095.0,1073.0,1084.13,6225.0
2012-02-15,1079.0,1095.0,1070.0,1071.0,2685.0
2012-02-16,1059.0,1059.0,1005.0,1025.0,5398.0
2012-02-17,1029.0,1040.0,1016.0,1028.0,10866.0
2012-02-20,1046.0,1080.57,1026.5,1063.62,41464.0
2012-02-21,1079.0,1088.15,1049.09,1080.0,16045.0
2012-02-22,1090.0,1150.0,1090.0,1102.2,14201.0
2012-02-23,1173.0,1175.0,1138.0,1150.0,8729.0
2012-02-24,1170.0,1175.32,1152.0,1162.0,1653.0
2012-02-27,1175.0,1192.77,1175.0,1180.0,14868.0
2012-02-28,1190.0,1200.0,1181.0,1187.0,39532.0
2012-02-29,1181.0,1251.0,1166.0,1240.0,23124.0
2012-03-01,1256.0,1280.0,1250.0,1250.0,8442.0
2012-03-02,1262.0,1279.82,1244.0,1244.0,2188.0
2012-03-05,1240.0,1265.0,1237.86,1241.0,2882.0
2012-03-06,1245.0,1245.0,1200.0,1206.0,4922.0
2012-03-07,1203.0,1223.0,1195.0,1200.0,3148.0
2012-03-08,1242.0,1247.0,1201.5,1225.0,4551.0
2012-03-09,1226.0,1226.0,1201.0,1215.0,5575.0
2012-03-12,1216.0,1250.0,1207.88,1230.0,18549.0
2012-03-13,1247.0,1252.0,1227.2,1227.2,3946.0
2012-03-14,1252.0,1270.0,1235.08,1270.0,1201.0
2012-03-15,1254.0,1254.0,1233.0,1234.0,3845.0
2012-03-16,1251.0,1254.0,1229.88,1230.0,8509.0
2012-03-19,1230.0,1245.4,1200.0,1200.0,11961.0
2012-03-20,1200.0,1229.0,1195.0,1200.0,18349.0
2012-03-21,1190.0,1210.0,1190.0,1200.0,12537.0
2012-03-22,1190.0,1202.0,1186.15,1195.0,3156.0
2012-03-23,1205.0,1215.0,1195.0,1200.0,4683.0
2012-03-26,1204.0,1204.0,1187.67,1195.0,7747.0
2012-03-27,1195.0,1207.77,1175.0,1175.0,12425.0
2012-03-28,1160.0,1165.0,1095.0,1130.0,13070.0
2012-03-29,1116.0,1136.85,1100.0,1127.0,3441.0
2012-03-30,1150.0,1150.0,1099.0,1128.0,10583.0
2012-04-02,1125.0,1154.0,1120.0,1140.0,5736.0
2012-04-03,1150.0,1150.0,1090.0,1090.0,4669.0
2012-04-04,1160.0,1160.0,1090.0,1101.0,10300.0
2012-04-05,1125.0,1125.0,1087.37,1098.0,1723.0
2012-04-10,1085.0,1140.03,1064.0,1080.0,2000.0
2012-04-11,1050.0,1060.0,969.0,1026.0,12438.0
2012-04-12,1025.0,1050.03,1005.5,1040.0,24643.0
2012-04-13,1052.0,1069.85,1040.0,1050.0,4734.0
2012-04-16,1059.0,1060.0,1046.38,1050.0,1473.0
2012-04-17,1051.0,1104.0,1051.0,1092.0,2647.0
2012-04-18,1100.0,1172.0,1059.8,1135.0,18873.0
2012-04-19,1140.0,1173.0,1125.0,1145.0,1986.0
2012-04-20,1127.0,1161.35,1112.0,1126.0,9828.0
2012-04-23,1134.0,1159.0,1125.0,1130.0,11228.0
2012-04-24,1142.0,1170.0,1120.0,1168.0,4911.0
2012-04-25,1152.0,1170.0,1131.0,1145.0,2850.0
2012-04-26,1142.0,1170.0,1120.0,1157.0,1505.0
2012-04-27,1164.0,1183.0,1164.0,1183.0,1649.0
2012-04-30,1174.0,1177.06,1167.0,1174.0,4012.0
2012-05-01,1170.0,1174.0,1164.9,1173.0,600.0
2012-05-02,1164.0,1174.0,1155.0,1155.0,1329.0
2012-05-03,1140.0,1180.0,1140.0,1180.0,137.0
2012-05-04,1183.0,1183.0,1150.5,1161.0,3740.0
2012-05-08,1140.0,1150.0,1130.8,1148.0,2666.0
2012-05-09,1135.0,1175.0,1130.0,1140.0,12923.0
2012-05-10,1150.0,1183.0,1127.75,1140.0,733.0
